name,link,year,employees,avg,median
Virginia Racing Commission,https://govsalaries.com/salaries/VA/virginia-racing-commission?year=2020,2020,30,15515,15515
Town of Onancock,https://govsalaries.com/salaries/VA/town-of-onancock?year=2020,2020,29,24055,24055
Appomattox River Water Authority,https://govsalaries.com/salaries/VA/appomattox-river-water-authority?year=2020,2020,29,58243,58243
New College Institute,https://govsalaries.com/salaries/VA/new-college-institute?year=2020,2020,29,35799,35799
Lynchburg Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/lynchburg-redevelopment-and-housing-authority?year=2020,2020,29,37524,37524
Motor Vehicle Dealer Board,https://govsalaries.com/salaries/VA/motor-vehicle-dealer-board?year=2020,2020,29,48327,48327
Secretary of The Commonwealth,https://govsalaries.com/salaries/VA/secretary-of-the-commonwealth?year=2020,2020,29,41209,41209
Town of Kenbridge,https://govsalaries.com/salaries/VA/town-of-kenbridge?year=2020,2020,28,22759,22759
Smyth-Bland Regional Library,https://govsalaries.com/salaries/VA/smyth-bland-regional-library?year=2020,2020,28,17314,17314
Town of Rural Retreat,https://govsalaries.com/salaries/VA/town-of-rural-retreat?year=2020,2020,27,15516,15516
New River Valley Juvenile Detention Home Commission,https://govsalaries.com/salaries/VA/new-river-valley-juvenile-detention-home-commission?year=2020,2020,26,34497,34497
Hopewell Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/hopewell-redevelopment-and-housing-authority?year=2020,2020,26,35918,35918
New River Valley Juvenile Detention Home Commission,https://govsalaries.com/salaries/VA/new-river-valley-juvenile-detention-home-commission?year=2020,2020,26,34497,34497
Town of Exmore,https://govsalaries.com/salaries/VA/town-of-exmore?year=2020,2020,26,33826,33826
Town of Clintwood,https://govsalaries.com/salaries/VA/town-of-clintwood?year=2020,2020,25,24887,24887
Central Virginia Regional Library,https://govsalaries.com/salaries/VA/central-virginia-regional-library?year=2020,2020,25,16408,16408
Shenandoah Valley Regional Airport Commission,https://govsalaries.com/salaries/VA/shenandoah-valley-regional-airport-commission?year=2020,2020,25,32904,32904
Town of Louisa,https://govsalaries.com/salaries/VA/town-of-louisa?year=2020,2020,25,38105,38105
Harrisonburg Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/harrisonburg-redevelopment-and-housing-authority?year=2020,2020,25,39777,39777
Town of Remington,https://govsalaries.com/salaries/VA/town-of-remington?year=2020,2020,25,11511,11511
Division of Legislative Automated Systems,https://govsalaries.com/salaries/VA/division-of-legislative-automated-systems?year=2020,2020,23,77935,77935
Town of Honaker,https://govsalaries.com/salaries/VA/town-of-honaker?year=2020,2020,23,18067,18067
Town of Chatham,https://govsalaries.com/salaries/VA/town-of-chatham?year=2020,2020,22,26581,26581
Town of Mineral,https://govsalaries.com/salaries/VA/town-of-mineral?year=2020,2020,22,10056,10056
